品名, 價格
['和展金絲冰糖燕窩 8入', 'NT$ 900 元']
['親家萃滴雞精 60ml*6入/盒', 'NT$ 850 元']
['娘家滴雞精 65ml*10入/盒', 'NT$ 1786 元']
['娘家滴雞精 65ml*20入/盒', 'NT$ 3116 元']
['桂格漢補天地玫瑰四物飲6入', 'NT$ 328 元']
['白蘭氏傳統雞精禮盒 12瓶', 'NT$ 758 元']
['白蘭氏傳統雞精 70g*8瓶', 'NT$ 398 元']
['桂格人蔘蜆精 68ml*6瓶', 'NT$ 348 元']
['人參靈芝精禮盒 8入(紅)', 'NT$ 800 元']
['桂格天地合補養氣人蔘(護肝)6入', 'NT$ 338 元']
['桂格漢補天地活靈芝 6入', 'NT$ 338 元']
['美好人生/大豆卵磷脂10g*20袋', 'NT$ 360 元']
['孕哺兒金選豐暢卵磷脂 4g*60包', 'NT$ 1980 元']
['孕哺兒卵磷脂燕窩多機能細末 60包', 'NT$ 1500 元']
['孕哺兒卵磷脂 24包', 'NT$ 680 元']
['丹尼斯卵磷脂膠囊 60粒', 'NT$ 800 元']
['三多男性B群鋅+硒強化錠 60粒', 'NT$ 200 元']
['三多女性B群鐵+美強化錠 60粒', 'NT$ 200 元']
['SUNLIFE發泡錠 20錠-紅顏鐵+C', 'NT$ 280 元']
['SUNLIFE發泡錠 20錠-維他命C 1000', 'NT$ 280 元']
['SUNLIFE發泡錠 20錠-電解質', 'NT$ 250 元']
['SUNLIFE發泡錠 20錠-鋅+C+E', 'NT$ 280 元']
['SUNLIFE發泡錠 20錠-維他命C', 'NT$ 200 元']
['渡邊元氣發泡顆粒 20包', 'NT$ 310 元']
['健衛常膠囊 100粒', 'NT$ 900 元']
['允諾新安特持續錠 30錠(藍)', 'NT$ 800 元']
['孕補綜合維他命 60顆', 'NT$ 1500 元']
['孕哺兒孕哺專用維他命 120粒', 'NT$ 880 元']
['黑曜蒜錠 90錠', 'NT$ 1800 元']
['健法維他命膠囊 30粒', 'NT$ 880 元']
['易達康好鐵膠囊 60粒', 'NT$ 900 元']
['易達康長效綜合B群 60錠', 'NT$ 800 元']
['活泉益補膠原咀嚼錠 90錠', 'NT$ 550 元']
['康心維生素D 400IU滴劑 15ml', 'NT$ 1300 元']
['活力維他 EX 錠 100錠', 'NT$ 1200 元']
['倍力莓 1.5g*30包', 'NT$ 900 元']
['神敏素每日錠 60錠', 'NT$ 1500 元']
['亮活B高單位維他命B群雙層錠 60粒', 'NT$ 800 元']
['美妍長效C膠囊 60粒', 'NT$ 800 元']
['陽籽精膠囊 120粒', 'NT$ 1800 元']
['貝斯特維而康錠 60粒', 'NT$ 800 元']
['舒體健錠 30錠', 'NT$ 680 元']
['舒體健錠 90粒', 'NT$ 1800 元']
['愛利康膜衣錠 150錠', 'NT$ 1200 元']
['活泉B群錠 90錠', 'NT$ 800 元']
['杏利女性綜合維他命軟膠囊 60粒', 'NT$ 650 元']
['杏利男性綜合維他命軟膠囊 60粒', 'NT$ 650 元']
['護體樂寶軟膠囊100粒', 'NT$ 2500 元']
['維多膠囊 100粒', 'NT$ 1200 元']
['允諾珍補綜合維他命 90粒', 'NT$ 800 元']
['優倍力鋅 50粒', 'NT$ 700 元']
['康世紀長青族綜合維他命 90粒', 'NT$ 650 元']
['益立補B群軟膠囊', 'NT$ 1080 元']
['渡邊綜合B群+鐵糖衣錠  90錠', 'NT$ 520 元']
['渡邊綜合B群+鋅糖衣錠  90錠', 'NT$ 520 元']
['渡邊惠聖維他命B6 80錠', 'NT$ 240 元']
['高補銀髮族專用維他命 130錠', 'NT$ 750 元']
['祈力康B軟膠囊 60粒*', 'NT$ 700 元']
['金愛力寶 B-100 60粒', 'NT$ 800 元']
['斯斯維他命C錠 60錠', 'NT$ 150 元']
['美康 C+Ca 100錠', 'NT$ 160 元']
['貝斯特 C 口含錠 80錠', 'NT$ 199 元']
['愛喜錠 500mg 60錠', 'NT$ 305 元']
['活泉元氣C錠 90錠', 'NT$ 390 元']
['福樂E軟膠囊 120粒(維益補E).', 'NT$ 1000 元']
['賜立倍能肝精B群軟膠囊 60粒', 'NT$ 1500 元']
['葡萄王人蔘蜆B群 30粒', 'NT$ 399 元']
['易達康葉黃素 60錠', 'NT$ 1000 元']
['學童視博士山桑子嚼錠 150錠', 'NT$ 550 元']
['健康卓越亮力葉黃素軟膠囊 50粒', 'NT$ 990 元']
['健康卓越亮力葉黃素軟膠囊 100粒', 'NT$ 1800 元']
['黑醋栗原液 50ml', 'NT$ 900 元']
['葉黃素第二代膠囊 100粒', 'NT$ 1500 元']
['井視優膠囊 60顆', 'NT$ 1000 元']
['沛立明-晶鑽膠囊 60粒', 'NT$ 1800 元']
['沛立明-晶亮配方膠囊 60粒', 'NT$ 1500 元']
['寶齡全方位葉黃素膠囊 60顆(全素)', 'NT$ 880 元']
['保晶利液態葉黃素 930cc', 'NT$ 990 元']
['速明葉黃素魚油軟膠囊 90粒', 'NT$ 1800 元']
['杏輝葉黃素軟膠囊-加強版 50粒', 'NT$ 1150 元']
['明適E葉黃素 60粒', 'NT$ 1200 元']
['適力佳膠囊 60粒', 'NT$ 1200 元']
['貝斯特超力明膠囊  200粒', 'NT$ 3000 元']
['貝斯特超力明膠囊 60粒', 'NT$ 1200 元']
['益明康膠囊(葉黃素二代)100粒', 'NT$ 1500 元']
['固本壯天然鈣錠 100粒', 'NT$ 1200 元']
['孕哺兒金選愛爾蘭海藻鈣膠囊 200錠', 'NT$ 1500 元']
['孕哺兒日本東洋貝鈣嚼錠420錠', 'NT$ 780 元']
['孕哺兒日本天然珊瑚鈣膠囊 120粒', 'NT$ 880 元']
['易達康鈣寶 100粒', 'NT$ 800 元']
['蔓莓菌洛神膠囊 60粒', 'NT$ 800 元']
['HCITTY超悅鈣粉', 'NT$ 500 元']
['強關健乳木果油軟膠囊 60粒', 'NT$ 1800 元']
['佳鈣錠 100錠', 'NT$ 1000 元']
['關力健PLUS軟膠囊 60粒', 'NT$ 1500 元']
['鈣思健嚼錠 50錠-清甜優格口味', 'NT$ 400 元']
['固樂挺關健錠 50粒', 'NT$ 1500 元']
['貝斯特胺基酸螯合鈣膜衣錠 80顆', 'NT$ 1000 元']
['好立鈣 50T', 'NT$ 1000 元']
['鈣樂珊瑚鈣 60錠', 'NT$ 1200 元']
['活力珊瑚鈣 60粒', 'NT$ 900 元']
['得萊寶海藻鈣軟膠囊 90粒', 'NT$ 900 元']
['固節安 360粒', 'NT$ 2500 元']
['杏輝金貝骨素加強錠 90錠', 'NT$ 1100 元']
['九合固力佳鈣水飲料 750ml', 'NT$ 1200 元']
['關立固軟膠囊 200錠+白樂汀/組', 'NT$ 3210 元']
['補鈣強-S液鈣膠囊 100粒', 'NT$ 1200 元']
['關勁強膜衣錠 60粒', 'NT$ 1200 元']
['L型發酵離子鈣600mg 60粒(素)', 'NT$ 1000 元']
['愛力寶全家綜合補鈣錠 100錠', 'NT$ 800 元']
['港香蘭骨立挺鈣加強錠 120錠', 'NT$ 780 元']
['康世紀六全鈣 60粒', 'NT$ 800 元']
['谷路鈣寶軟骨素鈣錠(惠利鈣) 270粒', 'NT$ 2900 元']
['谷路鈣寶軟骨素鈣錠 90粒', 'NT$ 1200 元']
['谷路鈣寶天然鈣軟膠囊 120粒', 'NT$ 1200 元']
['愛力寶綜合營養優質水解鈣粉 360g', 'NT$ 1500 元']
['兒童易利抗咀嚼錠 80粒-橘子', 'NT$ 900 元']
['孕哺兒維他命C+乳鐵嚼錠 150粒', 'NT$ 399 元']
['康谷力葡萄糖胺液1000c.c', 'NT$ 1500 元']
['紐可舒乳油木果軟膠囊 100粒', 'NT$ 1800 元']
['紐可舒全素葡萄糖胺液1000ml', 'NT$ 1200 元']
['優而力液態葡萄糖胺1000cc(無糖低鈉)', 'NT$ 1500 元']
['安健美納豆膠囊 100粒', 'NT$ 2500 元']
['納豆菌發酵培養精華膠囊 60粒', 'NT$ 1800 元']
['天之嬌子核桃油DHA軟膠囊 90粒', 'NT$ 1500 元']
['精純深海魚油膠囊 120粒', 'NT$ 1450 元']
['海之珍寶 50粒', 'NT$ 1200 元']
['愛力寶暢的舒10合一精華膠囊 60粒', 'NT$ 1500 元']
['天之嬌子DHA藻油膠囊 60粒', 'NT$ 1800 元']
['惠氏媽媽藻油DHA膠囊 60粒', 'NT$ 1780 元']
['智力王DHA-3Q軟膠囊 180粒', 'NT$ 2500 元']
['智力王DHA-3Q軟膠囊 60粒', 'NT$ 1000 元']
['高優質plus魚油軟膠囊 100粒', 'NT$ 1000 元']
['志保能軟膠囊 100粒', 'NT$ 1800 元']
['利旨康魚油軟膠囊 60粒', 'NT$ 1200 元']
['金固巧植物性DHA PS膠囊90粒', 'NT$ 2100 元']
['威暢魚油膠囊 90粒', 'NT$ 900 元']
['海珍寶 DHA70 120粒', 'NT$ 2650 元']
['紫錐菊尤加利草本精油粉末 15g', 'NT$ 295 元']
['樂立舒紫錐花潤喉錠 30錠', 'NT$ 250 元']
['樂立舒紫錐花潤喉錠 100錠', 'NT$ 750 元']
['十八銅人功夫潤喉糖-雙層枇杷 30g', 'NT$ 35 元']
['十八銅人功夫潤喉糖-甘草檸檬 30g', 'NT$ 35 元']
['羅得天然藍藻片 1800粒', 'NT$ 1350 元']
['富補勝健康LGI營養配方 900g', 'NT$ 780 元']
['愛力寶綜合藜麥植物營養素 400g', 'NT$ 315 元']
['孕哺兒綠藻纖沖泡飲品 120g', 'NT$ 680 元']
['孕哺兒哺多多飲品40g', 'NT$ 199 元']
['孕哺兒金選豐沛哺多多 320gm', 'NT$ 1380 元']
['孕哺兒哺多多哺乳茶 300g', 'NT$ 850 元']
['孕哺兒多多哺乳茶顆粒 120g', 'NT$ 380 元']
['孕哺兒天然凍晶鐵+葉酸膠囊 60粒', 'NT$ 980 元']
['優體菌軟囊 50粒', 'NT$ 900 元']
['愛力寶綜合孢子型乳酸菌粉 200g/紅', 'NT$ 800 元']
['補谷精完全營養素粉劑 7G*30包', 'NT$ 2000 元']
['超級好固膠囊 30粒', 'NT$ 1950 元']
['健康密碼-好蒡 1.5g*15包/盒', 'NT$ 450 元']
['新琉璃苣膠囊 60粒', 'NT$ 1200 元']
['更汝寶膠囊 60粒', 'NT$ 1200 元']
['媚可妮璀璨軟膠囊 50粒', 'NT$ 1850 元']
['活泉-天然琉璃苣膠囊 100粒', 'NT$ 900 元']
['優儷錠 60錠', 'NT$ 750 元']
['義蕊通山楂膜衣錠 60錠', 'NT$ 800 元']
['善素銀髮族綜合維生素130錠', 'NT$ 700 元']
['杏輝CLA精萃軟膠囊 100粒', 'NT$ 1080 元']
['欣復能軟膠囊 60粒', 'NT$ 2000 元']
['攝益康軟膠囊 50粒', 'NT$ 1500 元']
['新復攝寧膠囊 80粒', 'NT$ 900 元']
['御健寶龜鹿關靈寶15合1軟膠囊 100粒', 'NT$ 1800 元']
['御健寶龜鹿關靈寶15合1軟膠囊 300粒', 'NT$ 4200 元']
['班納葡萄子膠囊 60粒', 'NT$ 750 元']
['維保血紅素複方膠囊 60粒', 'NT$ 900 元']
['新凱保軟膠囊 100粒', 'NT$ 1000 元']
['孕哺兒肌醇+葉酸孕育膠囊 60粒', 'NT$ 980 元']
['杏輝益醣纖維顆粒 30包', 'NT$ 1000 元']
['唐安穩苦瓜複方膠囊 60粒', 'NT$ 2000 元']
['苦瓜精 100粒', 'NT$ 1300 元']
['唐穩當膠囊 60粒', 'NT$ 1200 元']
['九泰黃金年華 60粒', 'NT$ 1500 元']
['保甘素膠囊 50粒', 'NT$ 1500 元']
['貝斯特金活力能膠囊 60粒', 'NT$ 1000 元']
['康王甘精濃縮軟膠囊(甘王) 50粒', 'NT$ 1000 元']
['英普利寶軟膠囊 40粒', 'NT$ 850 元']
['英普利寶軟膠囊 100粒', 'NT$ 1950 元']
['康緹福維丁咀嚼錠 30錠(2錠*15包)', 'NT$ 650 元']
['康沛 30包', 'NT$ 1900 元']
['惠好尤加利桉油膠囊 60粒', 'NT$ 900 元']
['惠益清尤加利膠囊 60粒', 'NT$ 900 元']
['惠益清尤加利膠囊 10粒', 'NT$ 180 元']
['思麻蓉立記膠囊 60粒', 'NT$ 1500 元']
['傳導元膠囊 60粒', 'NT$ 1500 元']
['循活軟膠囊 60粒', 'NT$ 1700 元']
['怡夜寧錠 30錠', 'NT$ 800 元']
['貝斯特金活力寧膠囊 60粒', 'NT$ 950 元']
['速憶記免數羊膠囊 50粒', 'NT$ 1500 元']
['健優束絲藻膠囊 100粒', 'NT$ 2800 元']
['螺旋深藻錠 300錠', 'NT$ 1200 元']
['活藻素膠囊 60粒', 'NT$ 2000 元']
['小分子膠原蛋白 1000g', 'NT$ 5500 元']
['日本水解膠原蛋白 100g', 'NT$ 1000 元']
['千沛乳清蛋白營養飲品 1135g', 'NT$ 1480 元']
['活泉-珍勇靈活顆粒  2g*40包/盒', 'NT$ 1420 元']
['固勝營養液 500ml', 'NT$ 1300 元']
['活力寶 30粒', 'NT$ 750 元']
['QH強芯王軟膠囊 60粒', 'NT$ 1600 元']
['蘇邏瑪寶紅景天菁粹膠囊 60粒', 'NT$ 900 元']
['L-GLUTAMINE麩醯胺酸 500g', 'NT$ 3500 元']
['速養療左旋麩醯胺酸 280g*3入', 'NT$ 7300 元']
['速養療左旋麩醯胺酸 2.5g/40包', 'NT$ 4200 元']
['勤療素左旋麩醯胺酸復方粉 300g', 'NT$ 1350 元']
['杏利B群紅景天強化軟膠囊 60粒', 'NT$ 840 元']
['優藻醣膠囊 60粒', 'NT$ 2250 元']
['常健牛樟芝膠囊 60粒', 'NT$ 1800 元']
['褐抑定藻寡糖膠囊(加強型)-禮盒組 1000粒', 'NT$ 30000 元']
['褐抑定藻寡糖膠囊(加強)60粒', 'NT$ 3000 元']
['優潰素強化粉劑 30包', 'NT$ 2400 元']
['護潰素左旋麩醯胺酸粉劑500g+敏康素/組', 'NT$ 6000 元']
['金御薑蜆軟膠囊 90粒', 'NT$ 1500 元']
['超級好抗膠囊 60粒', 'NT$ 3400 元']
['葡萄王極品靈芝王189粒', 'NT$ 1680 元']
['葡萄王靈芝王 270粒', 'NT$ 1680 元']
['常健補元體強補精 15ml*10入', 'NT$ 680 元']
['佐藤皇帝液(男)30ml', 'NT$ 100 元']
['超級好清膠囊 60錠', 'NT$ 1380 元']
['香檳茸鱸魚萃 60ml*10入/盒', 'NT$ 1980 元']
['貝斯特胺基酸補精25ml*10支', 'NT$ 1500 元']
['超級好抗葡聚多醣體原液飲20ML*30支', 'NT$ 6000 元']
['蔓越莓補精 15ml*10支', 'NT$ 1100 元']
['大棗加味補精 15ml*10支', 'NT$ 800 元']
['御珍寶強勝100精華液15ml*10瓶(藍)', 'NT$ 680 元']
['御珍寶活力營養補精15ml*10瓶(紅)', 'NT$ 680 元']
['金愛力寶元氣家活力補精 20支', 'NT$ 1500 元']
['先保秘力補精 10支', 'NT$ 780 元']
['百威素膠囊 500mg 50粒', 'NT$ 1500 元']
['蕾莉凱兒洛神花複方膠囊 30粒', 'NT$ 600 元']
['倍佳-青春魔力更年期 20粒', 'NT$ 270 元']
['私密佳人複方膠囊 50粒', 'NT$ 950 元']
['艾舒敏 30顆', 'NT$ 840 元']
['新女性淨芙膠囊 60粒', 'NT$ 950 元']
['好清淨蔓越橘膠囊 60粒', 'NT$ 1000 元']
['愛力淨白膜衣錠  60錠', 'NT$ 1000 元']
['悅順月見草油膠囊 60粒', 'NT$ 650 元']
['舒立纖草本酵素錠 50錠', 'NT$ 800 元']
['倍佳孅儷健美茶 60包', 'NT$ 850 元']
['倍佳-立纖飲大食客 5包', 'NT$ 270 元']
['倍佳-孅美人肌肉型 20粒', 'NT$ 270 元']
['倍佳-健美茶便秘型B 10包', 'NT$ 180 元']
['倍佳-舒體暢便秘型A 20粒', 'NT$ 180 元']
['倍佳-黃金魚油中廣型 20粒', 'NT$ 180 元']
['子供健康多機能乳酸顆粒 30包', 'NT$ 799 元']
['益菌世家BB9益生菌 3g* 30包', 'NT$ 1200 元']
['敏兒八珍BB9乳酸菌 3g* 30包', 'NT$ 1200 元']
['蛋黃哥蘋果益生菌粉 2g*20包 ', 'NT$ 350 元']
['長榮生醫益生循環 3.7g*30包 ', 'NT$ 588 元']
['益口舒活菌錠 60錠', 'NT$ 1280 元']
['乳酸菌R錠 180錠', 'NT$ 1000 元']
['固常樂-優葡菌顆粒 30包', 'NT$ 800 元']
['H-city好菌乳酸菌顆粒 300g', 'NT$ 750 元']
['好益生 60包', 'NT$ 1000 元']
['金牌比菲德氏菌-龍根菌 3g*30包', 'NT$ 800 元']
['台糖寡糖乳酸菌 30包', 'NT$ 580 元']
['金袪敏素 2g*30包', 'NT$ 950 元']
['金袪敏素 120粒', 'NT$ 3000 元']
['醫敏家120粒/一般型', 'NT$ 2500 元']
['醫敏家益生菌 60粒/高效型', 'NT$ 3500 元']
['醫敏家益生菌 30粒/高效型', 'NT$ 2000 元']
['倍益生活菌膠囊 30粒', 'NT$ 700 元']
['愛力寶孢子型乳酸菌木寡糖  50粒', 'NT$ 800 元']
['舒淨爽機能性益菌膠囊 30粒', 'NT$ 1200 元']
['新愛力寶優菌 300粒', 'NT$ 1200 元']
['敏兒八珍-優護益生菌 2.5g*30包', 'NT$ 880 元']
['敏兒八珍-優敏益生菌 2.5g*30包', 'NT$ 880 元']
['轉大人龜鹿人蔘+新螯鈣錠 120粒/組', 'NT$ 2300 元']
['轉大人(女方)升級版/膠囊120粒+補膳*4包', 'NT$ 3980 元']
['轉大人(男方)升級版/膠囊120粒+補膳*4包', 'NT$ 3980 元']
['新金大漢精華-女 55ml/15入', 'NT$ 2490 元']
['舒摩兒私密緊實嫩白露148ml', 'NT$ 449 元']
['舒摩兒醋酸灌洗液-2入', 'NT$ 179 元']
['舒摩兒護理噴劑(加護型)59ml', 'NT$ 178 元']
['ADD+寶貝潤彈身體乳  180ml-水蜜桃', 'NT$ 138 元']
['ADD+寶貝舒柔身體乳  180ml-薰衣草', 'NT$ 138 元']
['ADD+寶貝綿綿身體乳  180ml-乳香', 'NT$ 138 元']
['ADD+寶貝香香沐浴乳  180ml-水蜜桃', 'NT$ 138 元']
['ADD+寶貝舒眠沐浴乳  180ml-薰衣草', 'NT$ 138 元']
['ADD+寶貝奶泡沐浴乳  180ml-乳香', 'NT$ 138 元']
['ADD+寶貝香柔洗髮乳  180ml-水蜜桃', 'NT$ 138 元']
['ADD+寶貝舒淨洗髮乳  180ml-薰衣草', 'NT$ 138 元']
['ADD+寶貝水亮洗髮乳  180ml-乳香', 'NT$ 138 元']
['ADD+北海道馬油護手霜高潤 30ml', 'NT$ 169 元']
['ADD+北海道馬油護手霜輕潤 30ml', 'NT$ 169 元']
['ADD+北海道馬油身體乳高潤 300ml', 'NT$ 350 元']
['ADD+北海道馬油身體乳輕潤 300ml', 'NT$ 199 元']
['舒妃珂妍119螺旋藻頭皮救急救調理噴霧 50ml', 'NT$ 220 元']
['舒妃珂妍119櫻花嚴損救急菁露 300ml', 'NT$ 280 元']
['舒妃自然匯頭皮角質淨化凝露 120ml-舒緩鎮靜', 'NT$ 430 元']
['舒妃自然匯頭皮角質淨化凝露 120ml-補水保濕', 'NT$ 430 元']
['舒妃自然匯頭皮角質淨化凝露 120ml-油控去脂', 'NT$ 430 元']
['舒妃自然匯修護鎖色柔護髮油 100ml', 'NT$ 480 元']
['舒妃自然匯健髮修補菁華 100ml', 'NT$ 480 元']
['舒妃自然匯頭皮敷膜 16ml*3-油控去脂', 'NT$ 480 元']
['舒妃自然匯頭皮敷膜 16ml*3-舒緩鎮靜', 'NT$ 380 元']
['舒妃自然匯頭皮敷膜 16ml*3-補水保濕', 'NT$ 380 元']
['舒妃自然匯頭皮涼水精華 80ml-去屑淨膚', 'NT$ 430 元']
['舒妃自然匯頭皮涼水精華 80ml-油控去脂', 'NT$ 430 元']
['舒妃自然匯頭皮涼水精華 80ml-舒緩鎮靜', 'NT$ 430 元']
['舒妃自然匯頭皮涼水精華 80ml-補水保濕', 'NT$ 430 元']
['舒妃自然匯洗髮凝露 240ml-控油去屑', 'NT$ 430 元']
['舒妃自然匯護髮膜 240ml-修護鎖色', 'NT$ 330 元']
['舒妃自然匯洗髮凝露 240ml-修護瑣色', 'NT$ 330 元']
['舒妃自然匯護髮膜 240ml-健髮', 'NT$ 330 元']
['舒妃自然匯洗髮凝露 240ml-健髮', 'NT$ 430 元']
['舒妃珂妍119螺旋藻頭皮急救洗髮露 360ml', 'NT$ 258 元']
['魚子褪黑淨斑精華20ml', 'NT$ 1380 元']
['魚子極淨零瑕疵化妝水 150ml', 'NT$ 890 元']
['魚子芙蓉奇蹟乳 120ml', 'NT$ 1380 元']
['魚子舒敏淨化卸妝乳 180ml', 'NT$ 790 元']
['魚子除皺修復精華眼霜15ml', 'NT$ 980 元']
['魚子抗皺保濕霜 30ml', 'NT$ 1380 元']
['珍珠潤白回春精華面膜 3入', 'NT$ 299 元']
['魚子頂級魚子膠原面膜 3入', 'NT$ 299 元']
['魚子極緻晶白面膜 3入', 'NT$ 299 元']
['魚子緊緻淨白霜30ml', 'NT$ 1380 元']
['魚子亮白精華液30ml', 'NT$ 1180 元']
['魚子彈力緊緻眼膠15ml', 'NT$ 890 元']
['魚子潤白化妝水150ml', 'NT$ 890 元']
['魚子淨化角質凝膠125ml', 'NT$ 890 元']
['朵瑪清透高效沁涼防曬乳SPF50 50ml', 'NT$ 580 元']
['(特)朵瑪草本深層潔顏慕絲 150ml', 'NT$ 399 元']
['(特)芙雅朵瑪草本水嫩潔淨慕斯150ml', 'NT$ 399 元']
['朵瑪敏弱舒緩卸妝液 400ml', 'NT$ 880 元']
['朵瑪杏核油滋養霜 250ml', 'NT$ 980 元']
['朵瑪杏核油身體潔膚皂 150g', 'NT$ 380 元']
['朵瑪荷荷巴滋養油 200ml', 'NT$ 800 元']
['朵瑪潔膚凝膠 200ml', 'NT$ 680 元']
['舒特膚全日護防曬凝乳(清爽型) SPF30 PA+++ 30ml', 'NT$ 630 元']
['舒特膚全日護高效防曬凝露 SPF50 PA++++ 50ml', 'NT$ 720 元']
['舒特膚AD異膚敏修護滋養乳液 295ml', 'NT$ 960 元']
['舒特膚油性潔膚乳 125ml', 'NT$ 475 元']
['舒特膚溫和潔膚凝脂(皂)4.5oz', 'NT$ 335 元']
['舒特膚長效潤膚霜 100ml', 'NT$ 808 元']
['凡士林瓶裝護脣膏  0.25oz -玫瑰', 'NT$ 79 元']
['凡士林瓶裝護脣膏  0.25oz -原味', 'NT$ 79 元']
['Vaseline可可奶油乳液 600ml', 'NT$ 199 元']
['Vaseline鎖水保濕乳液 600ml', 'NT$ 199 元']
['Vaseline蘆薈清爽乳液 600ml', 'NT$ 199 元']
['Vaseline全效滋潤乳液 600ml', 'NT$ 199 元']
['新科若林高效防曬噴霧 150ml', 'NT$ 990 元']
['新科若林傅明酸淡斑精華液 30ml', 'NT$ 1000 元']
['新科若林彈膚麗護膚霜(護疤)125ml', 'NT$ 1600 元']
['新科若林護敏臉霜 50ml', 'NT$ 1200 元']
['新科若林多層保濕精華露 30ml', 'NT$ 900 元']
['新科若林潤白精華霜 30ml', 'NT$ 1600 元']
['新科若林彈膚麗修護臉霜 50ML', 'NT$ 1520 元']
['新科若林祛痘潔面乳 200ML', 'NT$ 980 元']
['新科若林彈膚麗妊娠霜 100ML', 'NT$ 1000 元']
['新科若林OMEGA異位修膚霜 100ml', 'NT$ 780 元']
['新科若林舒敏加強修護霜 30g', 'NT$ 1350 元']
['新科若林怯痘控油保濕霜 50ML', 'NT$ 565 元']
['新科若林祛痘擦劑 25ML', 'NT$ 850 元']
['新科若林彈膚麗護膚霜(護疤)30ml', 'NT$ 650 元']
['Kamedis異膚優保潤調理潔髮乳  200ml', 'NT$ 1080 元']
['Kamedis異膚優保潤身體調理霜  100ml', 'NT$ 1575 元']
['Kamedis皮脂平衡乳霜 50ml ', 'NT$ 1215 元']
