品名, 價格
' 【孕哺兒】高單位微藻DHA 軟膠囊/藻油90顆', '$3800'
' 【BioJoy百喬】雪極淬_日本頂級GSH穀胱甘月太助眠美妍素(30錠/盒)', '$525'
' 【永信 HAC】悠寧軟膠囊90粒/瓶(高單位GABA幫助入睡)', '$1235'
' 【草本關鍵】舒服眠膠囊(10粒/盒)', '$150'
' 【草本關鍵】舒服眠膠囊(90粒/盒)', '$980'
' 【BLACKMORES 澳佳寶】DHA精粹濃縮深海魚油 (60粒/瓶)', '$1101'
' 【康萃生】天然魚油膠囊(90粒/瓶)', '$259'
' 【娘家】滴雞精(20包/盒)泠凍-廠商直送', '$3280'
' 【娘家】滴雞精(10包/盒)冷凍-廠商直送', '$1880'
' 【永信 HAC】綠蜂膠噴劑10ML(含專利PPLS成分 酒精無添加)/2盒', '$600'
' 【日本味王】膠原蜂蜜檸檬C 口含錠60粒/瓶', '$199'
' 【Organika優格康】頂級蜂膠膠囊500mg(100顆/瓶)', '$980'
' 【桂格】活靈芝滋補液禮盒60ml*8入', '$459'
' 【丹沛】六年根 原支蔘蜜果1入(整株高麗人蔘浸漬蜂蜜而成)', '$399'
' 美國原裝進口【營養生活】美加長效型維他命B+C錠90顆/瓶(含玫瑰果)', '$563'
' 【亞大T8銀耳】人蔘紅棗全家福禮盒(24入/箱)-廠商直送', '$2400'
' 【亞大T8銀耳】桂圓蓮子全家福禮盒(24入/箱)-廠商直送', '$2160'
' 【亞大T8銀耳】冰糖原味全家福禮盒(24入/箱)-廠商直送', '$1920'
' 【亞大T8銀耳】黃耆枸杞全家福禮盒(24入/箱)-廠商直送', '$2160'
' 【亞大T8銀耳】美顏珍珠6入禮盒-廠商直送', '$810'
' 【亞大T8銀耳】人蔘紅棗6入禮盒-廠商直送', '$810'
' 【亞大T8銀耳】桂圓蓮子6入禮盒-廠商直送', '$780'
' 【亞大T8銀耳】黃耆枸杞6入禮盒-廠商直送', '$780'
' 【亞大T8銀耳】冰糖原味6入禮盒-廠商直送', '$690'
' 美國原裝進口【營養生活】大蒜油軟膠囊90顆/瓶', '$435'
' 美國原裝進口【營養生活】營養生活維他命C1000(90錠/瓶)', '$675'
' 【娘家】娘家蔓越莓聖潔莓益生菌30包/盒', '$1280'
' 【日本味王】 蔓越莓口含錠 (12粒/包)', '$49'
' 【日本味王】蔓越莓口含錠升級版 60粒/瓶', '$199'
' 【台灣海洋 Taiwan Yes】鎂日清 酵素益生菌(蔓越莓)30入', '$578'
' 【孕哺兒】清新蔓越莓(3g/24包)x7盒(買6盒送1盒)', '$5280'
' 【孕哺兒】清新蔓越莓(3g/24包)', '$880'
' 【永信 HAC】蔓越莓膠囊(90粒/盒)', '$1140'
' 【康萃生】蔓越莓濃縮膠囊(150顆/瓶)', '$699'
' 【享食尚】滴雞精45mlx10包/盒', '$1280'
' 【存元堂】滴雞精 6入(常溫)', '$1080'
' 【娘家】滴雞精(10包/盒)冷凍-廠商直送', '$1880'
' 【娘家】滴雞精(20包/盒)泠凍-廠商直送', '$3280'
' 【孕哺兒】卵磷脂燕窩多機能細末(4g*60包/盒)', '$1500'
""" 【常春藤】好孕氣DHA軟膠囊/藻油60粒/盒(美國專利life'S DHA+ARA）"", '$1100'"
' 【常春藤】海藻孕婦鈣30錠/盒', '$300'
' 【愛司盟】南極磷蝦油軟膠囊 60顆/瓶', '$1250'
' 【Lovita 愛維他】亞鐵膠囊18mg(60顆/瓶)-添加維生素C', '$780'
' 【InSeed益喜氏】益菌寶益生菌60包x2盒', '$2856'
' 【InSeed益喜氏】益菌寶益生菌60包/盒', '$1510'
' 【InSeed益喜氏】益菌寶益生菌60包x3盒', '$4050'
' 【HIPP喜寶】天然媽媽飲品200公克', '$290'
' 【HIPP喜寶】有機媽媽茶包(無糖)1.5gx20包', '$315'
' 【愛司盟】液體鈣軟膠囊 330粒/瓶', '$1200'
' 【孕哺兒】高單位微藻DHA 軟膠囊/藻油90顆', '$3800'
' 【孕哺兒】媽媽葉酸 口嚼錠60錠', '$499'
' 【白蘭氏】傳統雞精禮盒(12入/盒)', '$758'
' 【享食尚】滴雞精60mlx15包/盒', '$2480'
' 【享食尚】滴雞精45mlx10包/盒', '$1280'
' 【Nestle 雀巢】立攝適快凝寶晶澈配方(125g)', '$350'
' 【存元堂】滴雞精 6入(常溫)', '$1080'
' 【娘家】滴雞精(10包/盒)冷凍-廠商直送', '$1880'
' 【娘家】滴雞精(20包/盒)泠凍-廠商直送', '$3280'
' 【桂格】完膳營養素-新糖尿病配方*24罐(箱購)', '$1710'
' 【補體素】倍力濃縮營養配方(熱帶水果口味)237mlx24罐/箱', '$3200'
' 【補體素】倍力濃縮營養配方禮盒(熱帶水果口味)237mlx6罐/盒', '$800'
' 【補體素】鉻100糖尿病適用液態營養品(不甜)237mlx24罐(買1箱送2罐)', '$1680'
' 【補體素】鉻100糖尿病適用液態營養品(清甜)237mlx24罐(買1箱送2罐)', '$1680'
' 【補體素】優纖 A+ 液態營養品(清甜)237mlx24罐/箱(買1箱送2罐)', '$1150'
' 【補體素】優纖 A+ 液態營養品(不甜)237mlx24罐/箱(買1箱送2罐)', '$1150'
' 【三多】補体康低蛋白營養配方240mlx24罐/箱', '$1550'
' 【三多】補体康D糖尿病營養配方240mlx24罐/箱', '$1330'
' 【三多】補体康C經典營養配方240mlx24罐/箱', '$995'
' 【FucoHiQ 褐抑定】藻寡醣加強配方粉末型禮盒(250包裝)', '$30000'
' 【正官庄】高麗蔘精EVERYTIME 10MLx30包/盒', '$1350'
' 【正官庄】高麗蔘精EVERYTIME 10MLx10包/盒', '$450'
' 【享食尚】滴雞精60mlx15包/盒', '$2480'
' 【純萃生技】南極冰鑽磷蝦油60顆▪挪威進口▪', '$3280'
' 【孕哺兒】卵磷脂燕窩多機能細末(4g*60包/盒)', '$1500'
""" 【常春藤】好孕氣DHA軟膠囊/藻油60粒/盒(美國專利life'S DHA+ARA）"", '$1100'"
' 【白蘭氏】兒童學進雞精42g(6+2瓶/盒)', '$279'
' 【純萃生技】南極冰鑽磷蝦油30顆▪挪威進口▪', '$2280'
' 【孕哺兒】高單位微藻DHA 軟膠囊/藻油90顆', '$3800'
' 美國原裝進口【營養生活】新精純魚油軟膠囊60顆/瓶', '$495'
' 美國原裝進口【營養生活】大豆卵磷脂軟膠囊1200mg(90顆/瓶)', '$520'
' 【BLACKMORES 澳佳寶】三倍濃縮深海魚油膠囊 (60顆/瓶)', '$1680'
' 【萊萃美】高濃度魚油(100粒)', '$588'
' 【順天本草】金智慧王(60粒/盒)', '$900'
' 【孕哺兒】資優A+特惠組-高單位微藻DHA軟膠囊(30粒)+送磷脂質PS+葉黃素(30粒)', '$1580'
' 【永信 HAC】魚油EPA軟膠囊(90粒/瓶)', '$1105'
' 【永信 HAC】魚油DHA膠囊(90粒/瓶)', '$1140'
' 【永信 HAC】銀杏果錠180錠/瓶(卵磷脂+DHA+冬蟲夏草菌絲體)', '$1140'
' 【永信 HAC】薑黃素膠囊90粒/瓶(純度95%薑黃抽出物全素可食)', '$1140'
' 【台灣海洋 Taiwan Yes】深海魚油軟膠囊120粒', '$299'
' 【孕哺兒】卵磷脂多機能營養顆粒(4g*24入)', '$680'
' 【恩能康見】幼兒成長DHA粉(2g/60包)', '$1200'
' 【娘家】娘家胎盤粉15入/盒- 助眠煥采新配方(日本原裝)', '$1380'
' 【夏威夷海紅寶】蝦紅素 (60粒/瓶)', '$1200'
' 【KGCHECK凱綺萃】甦玲精萃 3.0(配方新升級)80顆/盒-青春 4合1 葡萄籽OPC、專利葉黃素、五味子、紅石榴、鈣等', '$1380'
' 【葡萄王】晶透雪亮飲3入/盒', '$179'
' 【日本味王】膠原蜂蜜檸檬C 口含錠60粒/瓶', '$199'
' 【日本味王】 膠原蜂蜜檸檬C口含片 (20粒/包)', '$49'
' 【Lovita 愛維他】亞鐵膠囊18mg(60顆/瓶)-添加維生素C', '$780'
' 【BLACKMORES 澳佳寶】葡萄籽OPC(30錠)', '$506'
' 【謙善草本】有機紅妍蔘棗茶(12包/盒)', '$347'
' 【BioJoy百喬】雪極淬_日本頂級GSH穀胱甘月太助眠美妍素(30錠/盒)', '$525'
' 【BioJoy百喬】奇亞酵素輕纖飲_Chia奇亞籽蔬果酵素５合１（12包/盒）', '$488'
' 【BioJoy百喬】濃潤机因_高濃度吃的玻尿酸x日本導水乳酸菌(15包/盒)', '$550'
' 【丹沛】高麗紅蔘紅寶飲50mlx10包/盒(韓國女神美麗活力秘密)', '$815'
' 【丹沛】高麗紅蔘藍寶飲50mlx10包/盒(韓國OL青春美麗的秘密)', '$850'
' 【亞大T8銀耳】美顏珍珠全家福禮盒(24入/箱)-廠商直送', '$2400'
' 【亞大T8銀耳】美顏珍珠6入禮盒-廠商直送', '$810'
' 【亞大T8銀耳】冰糖原味6入禮盒-廠商直送', '$690'
' 美國原裝進口【營養生活】營養生活維他命C1000(90錠/瓶)', '$675'
' 美國原裝進口【營養生活】輔酵素Q10軟膠囊60顆/瓶', '$638'
' 【白蘭氏】四物雞精42g(6+2瓶/盒)', '$319'
' 【葡萄王】晶透雪亮飲3入/盒', '$179'
' 美國原裝進口【營養生活】琉璃苣油軟膠囊60顆/瓶', '$685'
' 美國原裝進口【營養生活】新婦康膠囊90顆/瓶(大豆異黃酮+西洋牡荊+紅花苜蓿等)', '$699'
' 美國原裝進口【營養生活】新蜂王乳軟膠囊 60顆/瓶', '$790'
' 【順天本草】櫻桃四物飲(6瓶/盒)', '$330'
' 【順天本草】四物美妍茶(10包/盒)', '$250'
' 【桂格】天地合補膠原蛋白玫瑰四物飲120ml*6入', '$308'
' 【桂格】天地合補含鐵玫瑰四物飲120ml*6入', '$299'
' 【桂格】天地合補青木瓜玫瑰四物飲120ml*6入', '$309'
' 【桂格】天地合補玫瑰四物飲原味120ml*6入', '$285'
' 【永信 HAC】大豆美研錠120錠/瓶 (非基因改造大豆萃取出大豆異黃酮)', '$1020'
' 【永信 HAC】 琉璃苣月順膠囊(90粒/盒)', '$808'
' 【康萃生】琉璃苣油膠囊(90顆/瓶)', '$950'
' 【康萃生】月見草油膠囊(90顆/瓶)', '$499'
' 【常春藤】月悅錠-聖潔莓(西洋牡荊)萃取物50粒x7盒(買6送1)', '$3600'
' 【常春藤】月悅錠-聖潔莓(西洋牡荊)萃取物(50粒/盒)', '$600'
' 【常春藤】復她容胚芽大豆異黃酮錠(60顆/盒)', '$1200'
' 【順天本草】芙蓉生之化10入/盒(桑椹口味)-生理期期間飲用', '$390'
' 【享食尚】滴雞精45mlx10包/盒', '$1280'
' 【ViMax威邁斯】瑪卡蟲草人蔘飲升級版(15ml*10瓶/盒)', '$1780'
' 【HIPP喜寶】天然媽媽飲品200公克', '$290'
' 【HIPP喜寶】有機媽媽茶包(無糖)1.5gx20包', '$315'
' 【正官庄】高麗蔘精EVERYTIME 10MLx30包/盒', '$1350'
' 【正官庄】高麗蔘精EVERYTIME 10MLx10包/盒', '$450'
' 【桂格】活靈芝滋補液禮盒60ml*8入', '$459'
' 【白蘭氏】傳統雞精禮盒(12入/盒)', '$758'
' 【享食尚】滴雞精60mlx15包/盒', '$2480'
' 【謙善草本】有機黑糖人蔘薑茶(20g x6包/盒)', '$110'
' 【謙善草本】有機黑糖老薑茶(20g*6包/盒)', '$99'
' 【謙善草本】有機枸杞菊花茶12包/盒', '$265'
' 【謙善草本】有機紅妍蔘棗茶(12包/盒)', '$347'
' 【謙善草本】有機漢方養氣茶12包/盒', '$225'
' 【BioJoy百喬】奇亞酵素輕纖飲_Chia奇亞籽蔬果酵素５合１（12包/盒）', '$488'
' 【丹沛】高麗紅蔘紅寶飲50mlx10包/盒(韓國女神美麗活力秘密)', '$815'
' 【丹沛】高麗紅蔘藍寶飲50mlx10包/盒(韓國OL青春美麗的秘密)', '$850'
' 易珈生技【纖Q好手藝】紅豆水5包+黑豆水5包((2gx30入x10包)', '$2270'
' 【順天本草】粉光元氣茶(10包/盒)', '$320'
' 【Nestle 雀巢】立攝適快凝寶晶澈配方(125g)', '$350'
' 【桂格】完膳營養素-新糖尿病配方*24罐(箱購)', '$1710'
' 【補體素】倍力濃縮營養配方禮盒(熱帶水果口味)237mlx6罐/盒', '$800'
' 【補體素】倍力濃縮營養配方(熱帶水果口味)237mlx24罐/箱', '$3200'
' 【補體素】鉻100糖尿病適用液態營養品(不甜)237mlx24罐(買1箱送2罐)', '$1680'
' 【補體素】鉻100糖尿病適用液態營養品(清甜)237mlx24罐(買1箱送2罐)', '$1680'
' 【補體素】優纖 A+ 液態營養品(清甜)237mlx24罐/箱(買1箱送2罐)', '$1150'
' 【補體素】優纖 A+ 液態營養品(不甜)237mlx24罐/箱(買1箱送2罐)', '$1150'
' 【補體素】優蛋白即飲液態營養品(清甜)237mlx24瓶/箱(買1箱送2罐)', '$1450'
' 【補體素】優蛋白即飲液態營養品(不甜)237mlx24瓶/箱(買1箱送2罐)', '$1450'
' 【三多】補体康低蛋白營養配方240mlx24罐/箱', '$1550'
' 【三多】補体康D糖尿病營養配方240mlx24罐/箱', '$1330'
' 【三多】補体康高纖高鈣營養配方240mlx24罐/箱)', '$1080'
' 【三多】補体康C經典營養配方240mlx24罐/箱', '$995'
' 【三多】增稠配方216g/罐', '$170'
' 【桂格】完膳營養素-鉻100糖尿病適用配方禮盒(無糖)237mlx8入', '$615'
' 【桂格】完膳營養素-原味無糖禮盒237mlx8入', '$465'
' 【桂格】完膳營養素-鉻100糖尿病適用配方(無糖)237mlx24罐/箱', '$1710'
' 【桂格】完膳營養素-原味無糖237mlx24入/箱', '$1250'
' 【純萃生技】南極冰鑽磷蝦油60顆▪挪威進口▪', '$3280'
' 【娘家】大紅麴（30粒/盒）', '$2580'
' 【桂格】完膳營養素-新糖尿病配方*24罐(箱購)', '$1710'
' 【純萃生技】南極冰鑽磷蝦油30顆▪挪威進口▪', '$2280'
' 【景岳生技】益菌纖膠囊150粒裝加贈30粒裝(國家健康食品雙認證-不易形成體脂肪&調節血脂功能)', '$3000'
' 【日本味王】暢快人生CX 14包/盒(國家健康食品認證，有助於不易形成體脂肪)', '$499'
' 【愛司盟】南極磷蝦油軟膠囊 60顆/瓶', '$1250'
' 【Organika優格康】苦瓜+鉻素食膠囊(120顆 40天份/瓶)', '$1180'
' 【BLACKMORES 澳佳寶】濃縮深海魚油(90顆)', '$1795'
' 【BLACKMORES 澳佳寶】葡萄籽OPC(30錠)', '$506'
' 美國原裝進口【營養生活】清純錠60顆/瓶 (納豆、紅麴萃取物)', '$624'
' 【加特福】GT&F奶粉30包/盒(國家健康食品認證，輔助調節血糖)', '$1350'
' 【加特福】GT&F奶粉30包x7盒(國家健康食品認證，輔助調節血糖)-買6送1', '$8100'
' 美國原裝進口【營養生活】新精純魚油軟膠囊60顆/瓶', '$495'
' 美國原裝進口【營養生活】大蒜油軟膠囊90顆/瓶', '$435'
' 美國原裝進口【營養生活】大豆卵磷脂軟膠囊1200mg(90顆/瓶)', '$520'
' 美國原裝進口【營養生活】輔酵素Q10軟膠囊60顆/瓶', '$638'
' 美國原裝進口【營養生活】維他命E軟膠囊 400IU (90顆/瓶)', '$450'
' 【BLACKMORES 澳佳寶】大蒜精膠囊 (90顆裝/瓶)', '$480'
' 【寶齡富錦】Maca瑪卡威剛膠囊  66顆/盒', '$1500'
' 【享食尚】滴雞精45mlx10包/盒', '$1280'
' 【KGCHECK凱綺萃】甦玲精萃 3.0(配方新升級)80顆/盒-青春 4合1 葡萄籽OPC、專利葉黃素、五味子、紅石榴、鈣等', '$1380'
' 【ViMax威邁斯】瑪卡蟲草人蔘飲升級版(15ml*10瓶/盒)', '$1780'
' 【正官庄】高麗蔘精EVERYTIME 10MLx30包/盒', '$1350'
' 【正官庄】高麗蔘精EVERYTIME 10MLx10包/盒', '$450'
' 【享食尚】滴雞精60mlx15包/盒', '$2480'
' 【謙善草本】有機枸杞菊花茶12包/盒', '$265'
' 【謙善草本】有機漢方養氣茶12包/盒', '$225'
' 【BioJoy百喬】法國天然綜合B群（60錠/瓶；一個月份）', '$408'
' 【丹沛】六年根 原支蔘蜜果1入(整株高麗人蔘浸漬蜂蜜而成)', '$399'
' 【東方傳奇】皇耆飲(15入/盒)', '$780'
' 美國原裝進口【營養生活】美加長效型維他命B+C錠90顆/瓶(含玫瑰果)', '$563'
' 【亞大T8銀耳】人蔘紅棗全家福禮盒(24入/箱)-廠商直送', '$2400'
' 【亞大T8銀耳】人蔘紅棗6入禮盒-廠商直送', '$810'
' 美國原裝進口【營養生活】甘好康軟膠囊90顆(鹿肝+胺基酸+B群+卵磷脂) ', '$960'
' 美國原裝進口【營養生活】冬蟲夏草菌絲體舞菇膠囊60顆/瓶', '$690'
' 美國原裝進口【營養生活】阿莎伊果Acai巴西紫莓軟膠囊60粒/瓶', '$475'
' 【威瑪舒培】蔬果超能B群錠 60錠/盒(補充日常所需能量)', '$499'
' 【KGCHECK凱綺萃】甦玲精萃 3.0(配方新升級)80顆/盒-青春 4合1 葡萄籽OPC、專利葉黃素、五味子、紅石榴、鈣等', '$1380'
' 【葡萄王】晶透雪亮飲3入/盒', '$179'
' 【日本味王】膠原蜂蜜檸檬C 口含錠60粒/瓶', '$199'
' 【日本味王】 膠原蜂蜜檸檬C口含片 (20粒/包)', '$49'
' 【愛司盟】健康維生素D3 400IU軟膠囊 60顆/瓶', '$655'
' 【Lovita 愛維他】高單位緩釋型維生素B12 1000mcg(60顆/瓶)-全素可食', '$780'
' 【Lovita 愛維他】胺基酸螯合鋅30mg(60錠/瓶)', '$499'
' 【Lovita 愛維他】亞鐵膠囊18mg(60顆/瓶)-添加維生素C', '$780'
