YECOMAM 2合1兒童滑板學步車,網路價：2490元
植英房雪世界印花肚衣 藍50,網路價：259元
植英房可愛猴印花肚衣 粉60,網路價：189元
KT新生兒禮盒組-四季  H7006,網路價：1118元
KITTY寶寶立體襪子超值組(2入),網路價：389元
KITTY歡樂遊戲組(手錶+販賣機),網路價：606元
KITTY DIY遊戲組(手錶+串珠),網路價：444元
植英房果凍拇指安撫奶嘴M粉,網路價：100元
植英房果凍拇指安撫奶嘴M藍,網路價：100元
植英房賽跑兔包巾 藍,網路價：721元
AVON雅芳體香劑-四重煥白40ml,網路價：79元
AVON雅芳體香劑-純真浪漫40ml,網路價：79元
AVON雅芳體香劑-純淨微風40ml,網路價：79元
AVON雅芳體香劑-男仕麝香40ml,網路價：79元
LRP深層淨膚泥面膜100G,網路價：750元
森田藥粧極濃精華賦活修護面膜8P,網路價：299元
森田藥粧極濃密精華保濕面膜8入,網路價：299元
MELANO CC 集中對策面膜20P,網路價：289元
妮維雅超濃密泡沫保濕潔面乳100m,網路價：89元
妮維雅超濃密泡沫珍珠煥白潔面乳,網路價：89元
MELANO CC 維他命C酵素洗顏慕斯,網路價：349元
森田藥粧複合胺基酸保濕洗面乳12,網路價：129元
PHYTO槐花抗屑控油洗髮精200ML,網路價：950元
蔻蘿蘭極度控油乾洗髮噴霧50ml,網路價：179元
蔻蘿蘭速效舒敏洗髮精100ml,網路價：116元
蔻蘿蘭養髮洗髮精400ML,網路價：702元
WELEDA白樺木纖體按摩油100ML,網路價：1020元
樂特濃縮甘草喉糖(16G*2+20包),網路價：380元
舒必克蜂膠兒童喉片-葡萄30T,網路價：100元
ACE 無糖Q軟糖量販包 240g,網路價：220元
ACE維他命C JUICY軟糖量販包240G,網路價：220元
李施德霖全效無酒精漱口水750ml,網路價：249元
李施德牙齦護理薑味漱口水750ml,網路價：199元
GUM牙周護理潔齒液960ML,網路價：288元
賽吉兒菁萃浴潔凝露-涼感型200ML,網路價：387元
永備黑貓3號-16入,網路價：116元
永備黑貓4號-16入,網路價：116元
勁量鋰電池 CR2032,網路價：41元
永備黑貓4號電池*4    1212,網路價：41元
ARIEL三合一3D洗衣膠囊18顆,網路價：159元
ARIEL三合一3D洗衣膠囊18顆盒裝,網路價：179元
寶瀅雙效洗衣膠囊-護色(18顆),網路價：269元
nac nac免水洗清潔劑,網路價：155元
康乃馨純淨棉夜用加長12片,網路價：55元
康乃馨純淨棉量多加長14片,網路價：55元
康乃馨純淨棉量多16片,網路價：55元
